AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2020	602	Servicios de televisión	16.797	487	473	0	28,2	0
2020	611	Servicios de telefonía fija	30.545	840	800	1	26,2	32,7
2020	612	Servicios de telefonía móvil	542	13	10	0	18,4	0
2020	613	Servicios de telecomunicaciones vía satélite, excepto transmisión de televisión	28.370	914	894	1	31,5	35,2
2020	614	Servicios de telecomunicación vía “Internet”	2.302	96	90	0	39,1	0
2020	619	Servicios de telecomunicaciones n.c.p.	1.702	79	76	0	44,6	0
2020	620	Servicios de programación y consultoría informática y actividades conexas	84.385	558	529	0	6,3	0
2020	631	Procesamiento de datos, hospedaje y actividades conexas, portales “web”	5.119	61	59	0	11,5	0
2020	639	Servicios de agencias de noticias y servicios de información n.c.p.	4.136	114	111	0	26,8	0
2020	641	Intermediación monetaria	108.767	663	591	2	5,4	18,4
2020	642	Servicios de sociedades de cartera	3.836	43	39	0	10,2	0
2020	643	Fondos y sociedades de inversión y entidades financieras similares	1.224	2	2	0	1,6	0
2020	649	Servicios financieros excepto los de la banca central y las entidades financieras	24.522	409	400	0	16,3	0
2020	651	Servicios de seguros	91.609	1.523	1.209	0	13,2	0
2020	652	Reaseguros	277	1	1	0	3,6	0
2020	653	Administración de fondos de pensiones, excepto la seguridad social obligatoria	35	0	0	0	0	0
2020	661	Servicios auxiliares a la actividad financiera, excepto a los servicios de seguros	11.695	119	113	0	9,7	0
2020	662	Servicios auxiliares a los servicios de seguros	12.376	125	119	0	9,6	0
2020	663	Servicios de gestión de fondos a cambio de una retribución o por contrata	1.794	232	216	1	120,4	557,4
2020	681	Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados	60.008	1.919	1.839	4	30,6	66,7
2020	682	Servicios inmobiliarios realizados a cambio de una retribución o por contrata	31.460	1.108	1.051	0	33,4	0
2020	691	Servicios jurídicos	24.484	193	187	0	7,6	0
2020	692	Servicios de contabilidad, auditoría y asesoría fiscal	35.507	374	361	0	10,2	0
2020	702	Servicios de asesoramiento, dirección y gestión empresarial	86.188	3.278	2.588	3	30	34,8
2020	711	Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.	48.673	2.017	1.930	6	39,7	123,3
2020	712	Ensayos y análisis técnicos	6.203	162	156	1	25,2	161,2
2020	721	Investigación y desarrollo experimental en el campo de la ingeniería y de las ciencias exactas y naturales	37.651	307	260	0	6,9	0
2020	722	Investigación y desarrollo experimental en el campo de las ciencias sociales y las humanidades	267	1	1	0	3,7	0
2020	731	Servicios de publicidad	17.511	320	302	0	17,2	0
2020	732	Estudio de mercado, realización de encuestas de opinión pública	3.225	50	49	0	15,2	0
2020	741	Servicios de diseño especializado	8.122	168	162	0	19,9	0
2020	742	Servicios de fotografía	565	9	9	0	15,9	0
2020	749	Actividades profesionales, científicas y técnicas n.c.p.	23.674	526	474	0	20	0
2020	750	Servicios veterinarios	3.020	94	90	1	29,8	331,1
2020	771	Alquiler de vehículos automotores y equipo de transporte sin conductor ni operarios	2.128	99	93	0	43,7	0
2020	772	Alquiler de efectos personales y enseres domésticos	903	38	36	0	39,9	0
2020	773	Alquiler de maquinaria y equipo n.c.p., sin personal	9.360	412	389	0	41,6	0
