AÑO; CIIU;Descripción;Personas trabajadoras con cobertura (promedio);Total de casos notificados;Casos con días de baja y secuelas incapacitantes;Personas trabajadoras fallecidas;Índice de incidencia [1];Índice de incidencia de casos mortales [2];
2022;329;Industrias manufactureras n.c.p.;9108.25;953;857;1;94.091;109.791;
2022;331;Reparación y mantenimiento de máquinas y equipo;1.159.583.333;1154;1045;2;90.119;172.476;
2022;332;Instalación de maquinaria y equipos industriales;1.663.666.667;147;134;1;80.545;601.082;
2022;351;Generación. transporte y distribución de energía eléctrica;6.390.316.667;2967;2750;11;43.034;172.135;
2022;352;Fabricación de gas y distribución de combustibles gaseosos por tuberías;6.218.333.333;183;159;0;25.570;0.000;
2022;353;Suministro de vapor y aire acondicionado;43.75;5;5;0;114.286;0.000;
2022;360;Captación. depuración y distribución de agua;2.459.641.667;1404;1325;1;53.870;40.656;
2022;370;Servicios de depuración de aguas residuales. alcantarillado y cloacas;1.572.391.667;2274;2155;2;137.052;127.195;
2022;381;Recolección. transporte. tratamiento y disposición final de residuos;2.764.433.333;6538;6136;2;221.962;72.348;
2022;382;Recuperación de materiales y desechos;12492.25;1332;1239;0;99.181;0.000;
2022;390;Descontaminación y otros servicios de gestión de residuos;1.008.033.333;1402;1288;0;127.774;0.000;
2022;410;Construcción de edificios y sus partes;204726.5;25516;24487;39;119.608;190.498;
2022;421;Construcción. reforma y reparación de obras de infraestructura para el transporte;6.594.666.667;6745;6361;12;96.457;181.965;
2022;422;Construcción de proyectos de servicios públicos;44232.75;5409;5155;7;116.543;158.254;
2022;429;Construcción de obras de ingeniería civil n.c.p.;45843.5;5382;5113;9;111.532;196.320;
2022;431;Demolición. movimiento y preparación de terrenos para obras;1.621.191.667;1616;1513;5;93.326;308.415;
2022;432;Instalaciones para edificios y obras de ingeniería civil;4.241.516.667;4475;4224;8;99.587;188.612;
2022;433;Terminación de edificios;8066;977;917;2;113.687;247.954;
